id	year	state	county	spend	crime	ratio
2010::AZ::MARICOPA	2010	AZ	Maricopa	313720.99	12840	24.43309891
2006::OH::GREENE	2006	OH	Greene	9481	196	48.37244898
2012::NH::HILLSBOROUGH	2012	NH	Hillsborough	153032.09	927	165.0831607
2011::NY::ONONDAGA	2011	NY	Onondaga	100331.8	5	20066.36
2008::MT::GALLATIN	2008	MT	Gallatin	4990	89	56.06741573
2009::AR::GREENE	2009	AR	Greene	960	86	11.1627907
2010::FL::ALACHUA	2010	FL	Alachua	46538.93	1651	28.18832829
2009::DC::DISTRICT OF COLUMBIA	2009	DC	District of Columbia	1207476.6	7587	159.1507315
2008::NC::STANLY	2008	NC	Stanly 	1274	36	35.38888889
2011::TN::WILSON	2011	TN	Wilson	261184.14	424	616.0003302
2007::AZ::YAVAPAI	2007	AZ	Yavapai	1104	467	2.364025696
2010::AR::POPE	2010	AR	Pope 	552	38	14.52631579
2009::CA::SHASTA	2009	CA	Shasta	4057.83	1279	3.172658327
2012::TX::POLK	2012	TX	Polk	22782.72	66	345.1927273
2012::TX::RUSK	2012	TX	Rusk	2280	0	2280
2010::CO::EL PASO	2010	CO	El Paso	90209	2806	32.14861012
2008::TN::SULLIVAN	2008	TN	Sullivan 	1932	272	7.102941176
2009::OH::ALLEN	2009	OH	Allen	619843.45	528	1173.945928
2011::VA::CHARLOTTESVILLE CITY	2011	VA	Charlottesville	65070	183	355.5737705
2010::CA::NAPA	2010	CA	Napa	44667.43	339	131.7623304
2007::GA::HOUSTON	2007	GA	Houston	3992	464	8.603448276
2006::OH::BUTLER	2006	OH	Butler	38132.55	927	41.13543689
2007::TX::HENDERSON	2007	TX	Henderson	414	257	1.610894942
2006::MT::YELLOWSTONE	2006	MT	Yellowstone	921.81	211	4.368767773
2010::SC::DARLINGTON	2010	SC	Darlington 	545092.59	375	1453.58024
2011::NC::BRUNSWICK	2011	NC	Brunswick	442	157	2.815286624
2006::OR::MARION	2006	OR	Marion	63606	923	68.91224269
2012::NC::BUNCOMBE	2012	NC	Buncombe 	65543.55	144	455.1635417
2008::MA::MIDDLESEX	2008	MA	Middlesex	276	3841	0.071856287
2012::NY::SUFFOLK	2012	NY	Suffolk	390514.06	1965	198.7348906
2006::ME::HANCOCK	2006	ME	Hancock	1104	3	368
2008::FL::LAKE	2008	FL	Lake	1902.26	1651	1.152186554
2006::OH::COLUMBIANA	2006	OH	Columbiana	11976	6	1996
2010::IN::MARION	2010	IN	Marion	60058.88	9813	6.120338327
2009::AL::JEFFERSON	2009	AL	Jefferson	521644.58	4331	120.4443731
2010::NC::BRUNSWICK	2010	NC	Brunswick	228	174	1.310344828
2010::IA::MARSHALL	2010	IA	Marshall	828	107	7.738317757
2006::MI::BRANCH	2006	MI	Branch	690	56	12.32142857
2008::LA::AVOYELLES	2008	LA	Avoyelles	5988	18	332.6666667
2010::WI::WALWORTH	2010	WI	Walworth 	2169	14	154.9285714
2006::IL::CHAMPAIGN	2006	IL	Champaign	30247	0	30247
2012::AR::SALINE	2012	AR	Saline	10183.06	132	77.14439394
2010::FL::FLAGLER	2010	FL	Flagler	48574	173	280.7745665
2009::MN::BLUE EARTH	2009	MN	Blue Earth	120	0	120
2007::ME::CUMBERLAND	2007	ME	Cumberland	876	409	2.141809291
2012::GA::BARROW	2012	GA	Barrow	219915.42	46	4780.77
2007::MI::BARRY	2007	MI	Barry 	3600	44	81.81818182
2007::NC::ALAMANCE	2007	NC	Alamance	3493	540	6.468518519
2008::CT::NEW LONDON	2008	CT	New London	10245	507	20.20710059
2006::FL::PASCO	2006	FL	Pasco	29940	1684	17.77909739
2012::CA::TULARE	2012	CA	Tulare	36040	2050	17.5804878
2012::OH::WAYNE	2012	OH	Wayne	245459.42	63	3896.18127
2009::NC::NEW HANOVER	2009	NC	New Hanover	2006767.95	990	2027.038333
2009::VA::ARLINGTON	2009	VA	Arlington	24873	321	77.48598131
2007::OH::TUSCARAWAS	2007	OH	Tuscarawas	77670.3	32	2427.196875
2006::NC::ROBESON	2006	NC	Robeson	5266	267	19.72284644
2009::NC::UNION	2009	NC	Union	176	172	1.023255814
2012::AL::CULLMAN	2012	AL	Cullman	5137480	177	29025.31073
2012::IN::SHELBY	2012	IN	Shelby	18000.86	4	4500.215
2010::ME::YORK	2010	ME	York	47483	158	300.5253165
2007::GA::LEE	2007	GA	Lee	1497	22	68.04545455
2006::MI::SAINT CLAIR	2006	MI	St. Clair	1497	492	3.042682927
2006::MN::MCLEOD	2006	MN	McLeod	499	0	499
2006::MS::SUNFLOWER	2006	MS	Sunflower	2760	86	32.09302326
2010::WI::PIERCE	2010	WI	Pierce	33474.63	34	984.5479412
2009::OH::BELMONT	2009	OH	Belmont	1180.26	35	33.72171429
2011::IA::STORY	2011	IA	Story	840	178	4.719101124
2012::UT::UTAH	2012	UT	Utah	7984	324	24.64197531
2008::FL::POLK	2008	FL	Polk	480162	3063	156.761998
2008::OR::WASHINGTON	2008	OR	Washington	138	821	0.168087698
2008::LA::JEFFERSON DAVIS	2008	LA	Jefferson Davis	1174.2	60	19.57
